,ID,GrossMonthlyIncome,CreditCardPayment,CarPayment,StudentLoanPayments,AppraisedValue,DownPayment,LoanAmount,MonthlyMortgagePayment,CreditScore,Approval,Reason
135,136,4687.0,273.0,368.0,429.0,352606.0,74047.26,278558.74,2043.97,502,No,"Credit Score is too low, should be 640 or above"
136,137,3011.0,402.0,444.0,223.0,251619.0,37742.85,213876.15,1021.08,797,No,"DTI is high, should be 43 or less prefereably less than 28%"
137,138,8012.0,303.0,415.0,296.0,345445.0,20726.7,324718.3,2160.36,640,No,"Credit Score is too low, should be 640 or above"
138,139,3482.0,419.0,494.0,351.0,315903.0,69498.66,246404.34,1808.03,582,No,"Credit Score is too low, should be 640 or above"
139,140,2440.0,282.0,387.0,228.0,306749.0,70552.27,236196.73,1267.96,745,No,"DTI is high, should be 43 or less prefereably less than 28%"
140,141,7428.0,333.0,450.0,325.0,483190.0,28991.4,454198.6,2723.15,696,No,"DTI is high, should be 43 or less prefereably less than 28%"
141,142,4338.0,356.0,381.0,267.0,366253.0,25637.71,340615.29,2499.31,589,No,"Credit Score is too low, should be 640 or above"
142,143,4359.0,385.0,453.0,212.0,300132.0,69030.36,231101.64,974.33,835,No,"DTI is high, should be 43 or less prefereably less than 28%"
143,144,6162.0,314.0,451.0,425.0,397060.0,39706.0,357354.0,2622.14,562,No,"Credit Score is too low, should be 640 or above"
144,145,5040.0,475.0,392.0,323.0,491660.0,137664.8,353995.2,2355.14,641,No,"DTI is high, should be 43 or less prefereably less than 28%"
145,146,2349.0,367.0,436.0,275.0,380825.0,41890.75,338934.25,2486.98,527,No,"Credit Score is too low, should be 640 or above"
146,147,8313.0,215.0,415.0,433.0,449788.0,44978.8,404809.2,1932.62,772,No,"DTI is high, should be 43 or less prefereably less than 28%"
147,148,5989.0,359.0,391.0,445.0,307494.0,79948.44,227545.56,1086.34,756,Yes,You pass all criteria
148,149,9775.0,338.0,415.0,252.0,300999.0,66219.78,234779.22,1120.87,789,Yes,You pass all criteria
149,150,7521.0,367.0,450.0,400.0,315187.0,18911.22,296275.78,1590.47,730,No,"DTI is high, should be 43 or less prefereably less than 28%"
150,151,4757.0,238.0,477.0,304.0,360654.0,28852.32,331801.68,2434.64,565,No,"Credit Score is too low, should be 640 or above"
151,152,3272.0,473.0,423.0,238.0,372878.0,33559.02,339318.98,1619.96,794,No,"DTI is high, should be 43 or less prefereably less than 28%"
152,153,5906.0,377.0,427.0,402.0,298505.0,80596.35,217908.65,918.71,830,Yes,You pass all criteria
153,154,2251.0,351.0,487.0,256.0,466250.0,93250.0,373000.0,2481.58,625,No,"Credit Score is too low, should be 640 or above"
154,155,3978.0,465.0,351.0,339.0,366200.0,87888.0,278312.0,2042.15,514,No,"Credit Score is too low, should be 640 or above"
155,156,5968.0,323.0,467.0,267.0,394534.0,82852.14,311681.86,2287.01,502,No,"Credit Score is too low, should be 640 or above"
156,157,5368.0,431.0,383.0,395.0,249720.0,22474.8,227245.2,1511.87,616,No,"Credit Score is too low, should be 640 or above"
157,158,2180.0,413.0,421.0,339.0,357366.0,75046.86,282319.14,1878.28,649,No,"DTI is high, should be 43 or less prefereably less than 28%"
158,159,8346.0,477.0,407.0,311.0,473151.0,33120.57,440030.43,2100.77,790,No,"DTI is high, should be 43 or less prefereably less than 28%"
159,160,3715.0,438.0,420.0,268.0,274791.0,19235.37,255555.63,1875.18,540,No,"Credit Score is too low, should be 640 or above"
160,161,8857.0,435.0,362.0,328.0,457372.0,59458.36,397913.64,2647.33,648,No,"DTI is high, should be 43 or less prefereably less than 28%"
161,162,6154.0,335.0,415.0,442.0,454299.0,122660.73,331638.27,2206.4,638,No,"Credit Score is too low, should be 640 or above"
162,163,5635.0,350.0,426.0,437.0,426555.0,81045.45,345509.55,2535.23,572,No,"Credit Score is too low, should be 640 or above"
163,164,7348.0,474.0,396.0,404.0,258126.0,25812.6,232313.4,1545.59,633,No,"Credit Score is too low, should be 640 or above"
164,165,2758.0,306.0,432.0,411.0,332291.0,63135.29,269155.71,1284.99,755,No,"DTI is high, should be 43 or less prefereably less than 28%"
165,166,2793.0,278.0,390.0,313.0,414143.0,86970.03,327172.97,1961.57,665,No,"DTI is high, should be 43 or less prefereably less than 28%"
166,167,2690.0,243.0,445.0,438.0,289614.0,14480.7,275133.3,1830.47,622,No,"Credit Score is too low, should be 640 or above"
167,168,3985.0,342.0,388.0,418.0,433082.0,43308.2,389773.8,1860.84,772,No,"DTI is high, should be 43 or less prefereably less than 28%"
168,169,9257.0,413.0,456.0,402.0,359040.0,57446.4,301593.6,1271.53,814,No,"DTI is high, should be 43 or less prefereably less than 28%"
169,170,5229.0,289.0,398.0,350.0,303214.0,24257.12,278956.88,2046.89,598,No,"Credit Score is too low, should be 640 or above"
170,171,8275.0,300.0,390.0,446.0,346956.0,52043.4,294912.6,2163.96,543,No,"Credit Score is too low, should be 640 or above"
171,172,3988.0,220.0,360.0,215.0,252688.0,42956.96,209731.04,884.23,809,No,"DTI is high, should be 43 or less prefereably less than 28%"
172,173,4161.0,348.0,422.0,318.0,346333.0,90046.58,256286.42,1880.54,566,No,"Credit Score is too low, should be 640 or above"
173,174,9381.0,349.0,353.0,406.0,463171.0,69475.65,393695.35,2619.26,640,No,"Credit Score is too low, should be 640 or above"
174,175,9342.0,262.0,362.0,249.0,255349.0,61283.76,194065.24,1423.98,518,No,"Credit Score is too low, should be 640 or above"
175,176,8386.0,215.0,386.0,333.0,332049.0,23243.43,308805.57,2265.91,544,No,"Credit Score is too low, should be 640 or above"
176,177,9203.0,475.0,433.0,341.0,236893.0,42640.74,194252.26,1425.35,699,No,"DTI is high, should be 43 or less prefereably less than 28%"
177,178,4669.0,488.0,481.0,317.0,292928.0,26363.52,266564.48,1598.19,667,No,"DTI is high, should be 43 or less prefereably less than 28%"
178,179,7324.0,264.0,406.0,286.0,303051.0,75762.75,227288.25,1220.13,710,Yes,You pass all criteria
179,180,9875.0,403.0,353.0,247.0,462698.0,55523.76,407174.24,2708.94,628,No,"Credit Score is too low, should be 640 or above"
180,181,8661.0,366.0,428.0,241.0,347876.0,80011.48,267864.52,1605.98,688,Yes,You pass all criteria
181,182,5517.0,449.0,464.0,286.0,333717.0,63406.23,270310.77,1139.64,812,No,"DTI is high, should be 43 or less prefereably less than 28%"
182,183,2122.0,380.0,476.0,334.0,491976.0,49197.6,442778.4,3248.95,599,No,"Credit Score is too low, should be 640 or above"
183,184,5251.0,344.0,372.0,232.0,496118.0,143874.22,352243.78,1681.67,797,No,"DTI is high, should be 43 or less prefereably less than 28%"
184,185,7955.0,223.0,484.0,400.0,303839.0,63806.19,240032.81,1596.94,612,No,"Credit Score is too low, should be 640 or above"
185,186,5760.0,200.0,436.0,269.0,350454.0,52568.1,297885.9,2185.78,593,No,"Credit Score is too low, should be 640 or above"
186,187,6050.0,375.0,410.0,213.0,380961.0,102859.47,278101.53,2040.61,800,No,"DTI is high, should be 43 or less prefereably less than 28%"
187,188,3022.0,210.0,482.0,391.0,382541.0,99460.66,283080.34,1193.48,801,No,"DTI is high, should be 43 or less prefereably less than 28%"
188,189,2995.0,484.0,435.0,335.0,357027.0,92827.02,264199.98,1261.33,793,No,"DTI is high, should be 43 or less prefereably less than 28%"
189,190,3962.0,243.0,474.0,263.0,484659.0,106624.98,378034.02,2266.5,686,No,"DTI is high, should be 43 or less prefereably less than 28%"
190,191,2607.0,206.0,362.0,325.0,327745.0,58994.1,268750.9,1133.06,824,No,"DTI is high, should be 43 or less prefereably less than 28%"
191,192,4672.0,445.0,461.0,249.0,339351.0,74657.22,264693.78,1263.69,780,No,"DTI is high, should be 43 or less prefereably less than 28%"
192,193,4110.0,252.0,410.0,334.0,394634.0,82873.14,311760.86,2287.59,504,No,"Credit Score is too low, should be 640 or above"
193,194,3868.0,286.0,404.0,259.0,466298.0,41966.82,424331.18,1789.0,846,No,"DTI is high, should be 43 or less prefereably less than 28%"
194,195,7183.0,433.0,472.0,422.0,412631.0,103157.75,309473.25,2270.81,549,No,"Credit Score is too low, should be 640 or above"
195,196,2341.0,354.0,374.0,449.0,291610.0,49573.7,242036.3,1775.98,800,No,"DTI is high, should be 43 or less prefereably less than 28%"
196,197,6714.0,318.0,455.0,300.0,470192.0,56423.04,413768.96,3036.09,503,No,"Credit Score is too low, should be 640 or above"
197,198,4400.0,433.0,398.0,241.0,258352.0,46503.36,211848.64,1554.47,506,No,"Credit Score is too low, should be 640 or above"
198,199,7834.0,287.0,462.0,292.0,442455.0,44245.5,398209.5,2649.3,605,No,"Credit Score is too low, should be 640 or above"
199,200,4956.0,303.0,460.0,280.0,230615.0,20755.35,209859.65,1126.57,730,No,"DTI is high, should be 43 or less prefereably less than 28%"
200,201,9832.0,383.0,494.0,386.0,244232.0,39077.12,205154.88,1230.01,697,No,"DTI is high, should be 43 or less prefereably less than 28%"
201,202,5533.0,281.0,377.0,267.0,241424.0,43456.32,197967.68,1452.62,509,No,"Credit Score is too low, should be 640 or above"
202,203,4574.0,496.0,467.0,403.0,275641.0,52371.79,223269.21,1338.61,669,No,"DTI is high, should be 43 or less prefereably less than 28%"
203,204,3520.0,345.0,479.0,307.0,407029.0,85476.09,321552.91,2359.44,577,No,"Credit Score is too low, should be 640 or above"
204,205,5256.0,364.0,392.0,306.0,431155.0,38803.95,392351.05,1654.17,836,No,"DTI is high, should be 43 or less prefereably less than 28%"
205,206,7622.0,279.0,352.0,318.0,264745.0,42359.2,222385.8,1631.79,562,No,"Credit Score is too low, should be 640 or above"
206,207,2995.0,486.0,400.0,419.0,392361.0,47083.32,345277.68,2533.53,571,No,"Credit Score is too low, should be 640 or above"
207,208,5638.0,453.0,468.0,202.0,459754.0,36780.32,422973.68,2814.05,648,No,"DTI is high, should be 43 or less prefereably less than 28%"
208,209,8647.0,272.0,499.0,392.0,390637.0,89846.51,300790.49,1268.14,824,Yes,You pass all criteria
209,210,9694.0,288.0,448.0,214.0,496218.0,89319.24,406898.76,2184.32,748,No,"DTI is high, should be 43 or less prefereably less than 28%"
